"Time","Average alt"
2025-06-21 18:49:20,25718
2025-06-21 18:49:30,25521
2025-06-21 18:49:40,25317
2025-06-21 18:49:50,24877
2025-06-21 18:50:00,24608
2025-06-21 18:50:20,24089
2025-06-21 18:50:50,23322
2025-06-21 18:51:10,22828
2025-06-21 18:51:20,22584
2025-06-21 18:51:50,21884
2025-06-21 18:52:00,21792
2025-06-21 18:52:20,21197
2025-06-21 18:52:30,21083
2025-06-21 18:53:30,19827
2025-06-21 18:54:00,19255
2025-06-21 18:56:00,17036
2025-06-21 18:56:30,16562
2025-06-21 18:57:00,16101
2025-06-21 18:58:50,14587
2025-06-21 18:59:10,14323
2025-06-21 18:59:40,13957
2025-06-21 18:59:50,13840
2025-06-21 19:00:00,13665
2025-06-21 19:00:10,13608
2025-06-21 19:00:30,13308
2025-06-21 19:00:40,13247
2025-06-21 19:00:50,13122
2025-06-21 19:01:10,12825
2025-06-21 19:01:40,12487
2025-06-21 19:01:50,12340
2025-06-21 19:02:00,12282
2025-06-21 19:02:10,12106
2025-06-21 19:02:30,11870
2025-06-21 19:02:40,11755
2025-06-21 19:02:50,11696
2025-06-21 19:03:10,11403
2025-06-21 19:04:00,10895
2025-06-21 19:04:20,10676
2025-06-21 19:04:50,10359
2025-06-21 19:05:00,10235
2025-06-21 19:05:20,10058
2025-06-21 19:05:40,9835
2025-06-21 19:05:50,9761
2025-06-21 19:06:00,9648
2025-06-21 19:06:10,9532
2025-06-21 19:06:20,9464
2025-06-21 19:06:30,9372
2025-06-21 19:06:50,9194
2025-06-21 19:07:00,9125
2025-06-21 19:07:10,8985
2025-06-21 19:07:20,8897
2025-06-21 19:07:40,8739
2025-06-21 19:07:50,8649
2025-06-21 19:08:00,8582
2025-06-21 19:08:20,8368
2025-06-21 19:08:50,8110
2025-06-21 19:10:20,7352
2025-06-21 19:10:30,7286
2025-06-21 19:10:40,7179
2025-06-21 19:10:50,7093
2025-06-21 19:11:00,7026
2025-06-21 19:11:10,6917
2025-06-21 19:11:20,6828
2025-06-21 19:11:30,6764
2025-06-21 19:11:50,6570
2025-06-21 19:12:00,6484
2025-06-21 19:12:30,6196
2025-06-21 19:13:00,5935
2025-06-21 19:13:10,5846
2025-06-21 19:13:20,5803
2025-06-21 19:13:30,5671
2025-06-21 19:13:40,5584
2025-06-21 19:13:50,5541
2025-06-21 19:14:00,5406
2025-06-21 19:14:30,5133
2025-06-21 19:14:40,5066
2025-06-21 19:14:50,4977
2025-06-21 19:15:00,4886
2025-06-21 19:15:10,4797
2025-06-21 19:15:20,4709
2025-06-21 19:15:30,4621
2025-06-21 19:15:40,4554
2025-06-21 19:15:50,4444
2025-06-21 19:16:00,4331
2025-06-21 19:16:10,4267
2025-06-21 19:16:20,4178
2025-06-21 19:16:30,4089
2025-06-21 19:16:40,4008
2025-06-21 19:16:50,3932
2025-06-21 19:17:00,3856
2025-06-21 19:17:10,3786
2025-06-21 19:17:20,3717
2025-06-21 19:17:30,3646
2025-06-21 19:17:40,3575
2025-06-21 19:17:50,3508
2025-06-21 19:18:00,3442
2025-06-21 19:18:10,3376
2025-06-21 19:18:20,3313
2025-06-21 19:18:30,3251
2025-06-21 19:18:40,3193
2025-06-21 19:18:50,3134
2025-06-21 19:19:00,3079
2025-06-21 19:19:10,3018
2025-06-21 19:19:20,2957
2025-06-21 19:19:30,2893
2025-06-21 19:19:40,2844
2025-06-21 19:19:50,2761
2025-06-21 19:20:00,2690
2025-06-21 19:20:10,2618
2025-06-21 19:20:20,2565
2025-06-21 19:20:30,2478
2025-06-21 19:20:40,2400
2025-06-21 19:20:50,2319
2025-06-21 19:21:00,2243
2025-06-21 19:21:10,2172
2025-06-21 19:21:20,2101
2025-06-21 19:21:30,2033
2025-06-21 19:21:40,1968
2025-06-21 19:21:50,1895
2025-06-21 19:22:00,1822
2025-06-21 19:22:10,1750
2025-06-21 19:22:20,1675
2025-06-21 19:22:30,1607
2025-06-21 19:22:40,1539
2025-06-21 19:22:50,1465
2025-06-21 19:23:00,1386
2025-06-21 19:23:10,1309
2025-06-21 19:23:20,1232
2025-06-21 19:23:30,1158
2025-06-21 19:23:40,1081
2025-06-21 19:23:50,1001
2025-06-21 19:24:00,941
2025-06-21 19:24:40,634
2025-06-21 19:24:50,583
